Title,Author,Published Date,Designation
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,2008-08-01T10:30,Software Engineer
Refactoring: Improving the Design of Existing Code,Martin Fowler,2018-11-20T09:45,Software Architect
The Pragmatic Programmer: Your Journey to Mastery,Andy Hunt, Dave Thomas,1999-10-30T14:15,Senior Developer
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides,1994-10-21T12:00,Tech Lead
Continuous Delivery: Reliable Software Releases through Build, Test, and Deployment Automation,Jez Humble, David Farley,2010-07-27T08:30,DevOps Engineer
Working Effectively with Legacy Code,Michael Feathers,2004-09-12T16:00,Legacy Code Specialist
Domain-Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,2003-08-30T09:20,Solution Architect
Patterns of Enterprise Application Architecture,Martin Fowler,2002-11-15T13:45,Enterprise Architect
Extreme Programming Explained: Embrace Change,Kent Beck, Cynthia Andres,2004-12-21T10:10,Agile Coach
Agile Estimating and Planning,Mike Cohn,2005-09-20T11:55,Project Manager
